,time,value
2019-01-14 00:00:02,00:00:02,53
2019-01-14 00:00:07,00:00:07,54
2019-01-14 00:00:17,00:00:17,54
2019-01-14 00:00:27,00:00:27,54
2019-01-14 00:00:37,00:00:37,55
2019-01-14 00:00:52,00:00:52,55
2019-01-14 00:00:57,00:00:57,54
2019-01-14 00:01:12,00:01:12,54
2019-01-14 00:01:17,00:01:17,55
2019-01-14 00:01:22,00:01:22,54
2019-01-14 00:01:37,00:01:37,54
2019-01-14 00:01:52,00:01:52,54
2019-01-14 00:01:57,00:01:57,56
2019-01-14 00:02:02,00:02:02,61
2019-01-14 00:02:17,00:02:17,60
2019-01-14 00:02:22,00:02:22,60
2019-01-14 00:02:27,00:02:27,58
2019-01-14 00:02:42,00:02:42,58
2019-01-14 00:02:47,00:02:47,59
2019-01-14 00:02:52,00:02:52,58
2019-01-14 00:02:57,00:02:57,56
2019-01-14 00:03:02,00:03:02,55
2019-01-14 00:03:17,00:03:17,53
2019-01-14 00:03:27,00:03:27,54
2019-01-14 00:03:32,00:03:32,55
2019-01-14 00:03:37,00:03:37,55
2019-01-14 00:03:42,00:03:42,54
2019-01-14 00:03:57,00:03:57,54
2019-01-14 00:04:02,00:04:02,54
2019-01-14 00:04:07,00:04:07,53
2019-01-14 00:04:12,00:04:12,53
2019-01-14 00:04:27,00:04:27,53
2019-01-14 00:04:32,00:04:32,54
2019-01-14 00:04:37,00:04:37,53
2019-01-14 00:04:42,00:04:42,53
2019-01-14 00:04:47,00:04:47,53
2019-01-14 00:05:02,00:05:02,53
2019-01-14 00:05:07,00:05:07,54
2019-01-14 00:05:12,00:05:12,56
2019-01-14 00:05:17,00:05:17,57
2019-01-14 00:05:22,00:05:22,58
2019-01-14 00:05:27,00:05:27,60
2019-01-14 00:05:32,00:05:32,58
2019-01-14 00:05:37,00:05:37,56
2019-01-14 00:05:42,00:05:42,57
2019-01-14 00:05:47,00:05:47,59
2019-01-14 00:05:52,00:05:52,60
2019-01-14 00:05:57,00:05:57,64
2019-01-14 00:06:02,00:06:02,63
2019-01-14 00:06:07,00:06:07,60
2019-01-14 00:06:12,00:06:12,59
2019-01-14 00:06:22,00:06:22,58
2019-01-14 00:06:27,00:06:27,55
2019-01-14 00:06:32,00:06:32,53
2019-01-14 00:06:47,00:06:47,54
2019-01-14 00:06:52,00:06:52,53
2019-01-14 00:07:07,00:07:07,53
2019-01-14 00:07:12,00:07:12,52
2019-01-14 00:07:22,00:07:22,53
2019-01-14 00:07:37,00:07:37,54
2019-01-14 00:07:42,00:07:42,54
2019-01-14 00:07:47,00:07:47,55
2019-01-14 00:07:52,00:07:52,56
2019-01-14 00:07:57,00:07:57,56
2019-01-14 00:08:07,00:08:07,57
2019-01-14 00:08:17,00:08:17,58
2019-01-14 00:08:22,00:08:22,61
2019-01-14 00:08:27,00:08:27,60
2019-01-14 00:08:32,00:08:32,59
2019-01-14 00:08:37,00:08:37,58
2019-01-14 00:08:42,00:08:42,55
2019-01-14 00:08:47,00:08:47,53
2019-01-14 00:08:52,00:08:52,52
2019-01-14 00:09:07,00:09:07,52
2019-01-14 00:09:22,00:09:22,52
2019-01-14 00:09:37,00:09:37,52
2019-01-14 00:09:52,00:09:52,54
2019-01-14 00:09:57,00:09:57,58
2019-01-14 00:10:02,00:10:02,56
2019-01-14 00:10:07,00:10:07,54
2019-01-14 00:10:22,00:10:22,54
2019-01-14 00:10:27,00:10:27,55
2019-01-14 00:10:42,00:10:42,55
2019-01-14 00:10:57,00:10:57,55
2019-01-14 00:11:12,00:11:12,55
2019-01-14 00:11:17,00:11:17,54
2019-01-14 00:11:22,00:11:22,55
2019-01-14 00:11:27,00:11:27,57
2019-01-14 00:11:32,00:11:32,58
2019-01-14 00:11:37,00:11:37,59
2019-01-14 00:11:42,00:11:42,61
2019-01-14 00:11:52,00:11:52,60
2019-01-14 00:12:07,00:12:07,60
2019-01-14 00:12:17,00:12:17,59
2019-01-14 00:12:23,00:12:23,57
2019-01-14 00:12:28,00:12:28,56
2019-01-14 00:12:33,00:12:33,55
2019-01-14 00:12:38,00:12:38,54
2019-01-14 00:12:43,00:12:43,55
2019-01-14 00:12:48,00:12:48,54
2019-01-14 00:13:03,00:13:03,54
2019-01-14 00:13:08,00:13:08,55
2019-01-14 00:13:23,00:13:23,55
2019-01-14 00:13:28,00:13:28,56
2019-01-14 00:13:43,00:13:43,55
2019-01-14 00:13:58,00:13:58,55
2019-01-14 00:14:08,00:14:08,56
2019-01-14 00:14:23,00:14:23,57
2019-01-14 00:14:38,00:14:38,56
2019-01-14 00:14:43,00:14:43,55
2019-01-14 00:14:58,00:14:58,57
2019-01-14 00:15:03,00:15:03,58
2019-01-14 00:15:08,00:15:08,59
2019-01-14 00:15:18,00:15:18,58
2019-01-14 00:15:33,00:15:33,59
2019-01-14 00:15:38,00:15:38,60
2019-01-14 00:15:43,00:15:43,61
2019-01-14 00:15:48,00:15:48,63
2019-01-14 00:15:53,00:15:53,59
2019-01-14 00:15:58,00:15:58,56
2019-01-14 00:16:03,00:16:03,55
2019-01-14 00:16:08,00:16:08,54
2019-01-14 00:16:13,00:16:13,53
2019-01-14 00:16:23,00:16:23,52
2019-01-14 00:16:38,00:16:38,53
2019-01-14 00:16:53,00:16:53,54
2019-01-14 00:17:03,00:17:03,53
2019-01-14 00:17:08,00:17:08,54
2019-01-14 00:17:13,00:17:13,53
2019-01-14 00:17:23,00:17:23,52
2019-01-14 00:17:38,00:17:38,52
2019-01-14 00:17:43,00:17:43,51
2019-01-14 00:17:48,00:17:48,52
2019-01-14 00:18:03,00:18:03,52
2019-01-14 00:18:08,00:18:08,53
2019-01-14 00:18:13,00:18:13,54
2019-01-14 00:18:18,00:18:18,53
2019-01-14 00:18:28,00:18:28,52
2019-01-14 00:18:43,00:18:43,53
2019-01-14 00:18:53,00:18:53,54
2019-01-14 00:18:58,00:18:58,55
2019-01-14 00:19:03,00:19:03,64
2019-01-14 00:19:08,00:19:08,65
2019-01-14 00:19:13,00:19:13,66
2019-01-14 00:19:18,00:19:18,67
2019-01-14 00:19:23,00:19:23,64
2019-01-14 00:19:28,00:19:28,59
2019-01-14 00:19:33,00:19:33,54
2019-01-14 00:19:38,00:19:38,55
2019-01-14 00:19:43,00:19:43,57
2019-01-14 00:19:53,00:19:53,56
2019-01-14 00:20:08,00:20:08,55
2019-01-14 00:20:13,00:20:13,57
2019-01-14 00:20:18,00:20:18,57
2019-01-14 00:20:23,00:20:23,55
2019-01-14 00:20:28,00:20:28,52
2019-01-14 00:20:43,00:20:43,52
2019-01-14 00:20:53,00:20:53,53
2019-01-14 00:20:58,00:20:58,54
2019-01-14 00:21:03,00:21:03,56
2019-01-14 00:21:08,00:21:08,58
2019-01-14 00:21:13,00:21:13,55
2019-01-14 00:21:18,00:21:18,54
2019-01-14 00:21:28,00:21:28,52
2019-01-14 00:21:33,00:21:33,51
2019-01-14 00:21:38,00:21:38,52
2019-01-14 00:21:43,00:21:43,53
2019-01-14 00:21:58,00:21:58,54
2019-01-14 00:22:03,00:22:03,53
2019-01-14 00:22:08,00:22:08,52
2019-01-14 00:22:13,00:22:13,50
2019-01-14 00:22:18,00:22:18,49
2019-01-14 00:22:33,00:22:33,50
2019-01-14 00:22:43,00:22:43,51
2019-01-14 00:22:48,00:22:48,52
2019-01-14 00:23:03,00:23:03,53
2019-01-14 00:23:08,00:23:08,52
2019-01-14 00:23:13,00:23:13,51
2019-01-14 00:23:18,00:23:18,50
2019-01-14 00:23:33,00:23:33,51
2019-01-14 00:23:38,00:23:38,53
2019-01-14 00:23:43,00:23:43,54
2019-01-14 00:23:53,00:23:53,55
2019-01-14 00:24:03,00:24:03,54
2019-01-14 00:24:08,00:24:08,54
2019-01-14 00:24:13,00:24:13,53
2019-01-14 00:24:18,00:24:18,54
2019-01-14 00:24:28,00:24:28,55
2019-01-14 00:24:33,00:24:33,54
2019-01-14 00:24:38,00:24:38,53
2019-01-14 00:24:43,00:24:43,52
2019-01-14 00:24:58,00:24:58,52
2019-01-14 00:25:03,00:25:03,51
2019-01-14 00:25:08,00:25:08,52
2019-01-14 00:25:13,00:25:13,54
2019-01-14 00:25:18,00:25:18,54
2019-01-14 00:25:28,00:25:28,53
2019-01-14 00:25:38,00:25:38,54
2019-01-14 00:25:53,00:25:53,53
2019-01-14 00:25:58,00:25:58,52
2019-01-14 00:26:03,00:26:03,51
2019-01-14 00:26:08,00:26:08,50
2019-01-14 00:26:23,00:26:23,50
2019-01-14 00:26:28,00:26:28,51
2019-01-14 00:26:33,00:26:33,52
2019-01-14 00:26:38,00:26:38,53
2019-01-14 00:26:48,00:26:48,53
2019-01-14 00:26:53,00:26:53,52
2019-01-14 00:27:08,00:27:08,52
2019-01-14 00:27:13,00:27:13,51
2019-01-14 00:27:28,00:27:28,50
2019-01-14 00:27:33,00:27:33,50
2019-01-14 00:27:38,00:27:38,51
2019-01-14 00:27:53,00:27:53,51
